id,product_id,product_name,material_id,material_name,change_type,quantity,reference_type,reference_id,notes,user_id,created_at
1,185,Elegant Duffle Bag,,,in,-121,purchase,45,Return,6,2025-08-02T21:00:00
2,,,12,Polyester Thread,out,390,sale,140,Stock adjustment,10,2025-01-19T18:00:00
3,92,Comfort Bathrobe,8,Rayon Fabric,in,288,purchase,231,,5,2024-01-01T04:00:00
4,171,Slim Fit Cotton T-Shirt,,,in,437,purchase,223,,3,2025-10-29T15:00:00
5,39,Essential Night Suit,,,adjustment,6,,,Quality check,10,2025-08-08T07:00:00
6,166,Sporty Night Suit,5,Wool Fabric,out,379,sale,237,Stock adjustment,2,2025-06-19T15:00:00
7,124,Designer Shorts,,,in,416,purchase,219,Inventory count,11,2024-07-08T04:00:00
8,118,Casual Casual Shirt,90,Drawstring - Cotton,out,390,sale,346,Inventory count,11,2025-06-27T17:00:00
9,,,27,Interfacing Fabric,out,446,sale,216,Damaged goods,4,2025-08-08T22:00:00
10,,,43,Lace Fabric,in,116,purchase,309,Return,3,2024-07-11T00:00:00
11,,,,,in,400,purchase,64,,6,2024-03-11T11:00:00
12,,,73,Mesh Fabric,out,455,sale,414,Inventory count,1,2025-04-12T09:00:00
13,,,,,adjustment,374,,,Damaged goods,5,2025-04-20T12:00:00
14,128,Modern Maxi Dress,74,Satin Fabric,out,258,sale,341,Damaged goods,2,2025-08-30T14:00:00
15,,,55,Rivet,out,-166,sale,418,,1,2024-09-20T10:00:00
16,,,61,Stopper,out,3,sale,126,Quality check,5,2024-02-08T18:00:00
17,119,Designer Joggers,15,Zipper - Nylon,out,450,sale,219,Return,3,2025-08-02T20:00:00
18,,,,,out,-150,sale,357,Inventory count,1,2025-01-14T18:00:00
19,,,,,in,-36,purchase,189,Stock adjustment,7,2025-04-18T13:00:00
20,81,Designer Waistcoat,68,Patch - Embroidered,in,435,purchase,121,Return,10,2025-07-27T18:00:00
21,106,Traditional Trousers,32,Tag - Paper,out,105,sale,179,Damaged goods,4,2024-12-04T08:00:00
22,,,,,in,112,purchase,364,Quality check,10,2025-09-18T03:00:00
23,,,91,Drawstring - Polyester,out,64,sale,302,Inventory count,5,2024-10-09T18:00:00
24,105,Urban Tote Bag,,,in,338,purchase,295,,3,2025-11-23T21:00:00
25,129,Modern Top,78,Velvet Fabric,in,288,purchase,25,Damaged goods,2,2024-08-11T18:00:00
26,,,,,in,384,purchase,81,,3,2025-04-01T04:00:00
27,12,Classic Cap,39,Thread - Embroidery,in,331,purchase,441,Damaged goods,11,2024-12-22T06:00:00
28,95,Slim Fit Crop Top,,,adjustment,399,,,,4,2024-05-15T04:00:00
29,,,39,Thread - Embroidery,in,190,purchase,22,Stock adjustment,10,2024-03-06T04:00:00
30,,,46,Fleece Fabric,in,-91,purchase,422,Stock adjustment,8,2024-05-19T03:00:00
31,,,,,in,409,purchase,440,Return,10,2025-02-05T06:00:00
32,121,Designer Night Suit,72,Knit Fabric,in,240,purchase,322,Stock adjustment,2,2024-03-21T18:00:00
33,,,,,in,65,purchase,362,Quality check,4,2024-12-01T12:00:00
34,,,48,Wadding,in,-151,purchase,38,,4,2024-07-28T09:00:00
35,190,Premium Salwar Suit,,,out,54,sale,81,Inventory count,5,2024-07-18T09:00:00
36,168,Regular Fit Vest,,,in,108,purchase,136,Inventory count,10,2024-08-25T21:00:00
37,173,Regular Fit Skirt,51,Button - Brass,out,353,sale,259,Return,3,2024-01-29T01:00:00
38,,,7,Viscose Fabric,out,-44,sale,441,Inventory count,8,2025-10-31T02:00:00
39,49,Casual Sling Bag,39,Thread - Embroidery,in,12,purchase,33,,4,2024-11-22T01:00:00
40,94,Elegant Leather Jacket,21,Button - Shell,out,-35,sale,407,Damaged goods,7,2025-07-26T19:00:00
41,,,94,Lace - Cotton,out,-37,sale,174,,9,2024-07-22T06:00:00
42,3,Ethnic Anarkali Dress,,,in,-63,purchase,320,,4,2024-12-04T12:00:00
43,,,,,in,2,purchase,450,Inventory count,8,2024-09-16T13:00:00
44,172,Slim Fit Tank Top,59,Buckle - Plastic,in,173,purchase,376,Quality check,3,2024-01-11T14:00:00
45,193,Comfort Lehenga,32,Tag - Paper,out,-142,sale,313,Return,4,2024-06-26T08:00:00
46,45,Casual Salwar Suit,95,Lace - Polyester,in,395,purchase,41,Inventory count,3,2025-07-23T08:00:00
47,,,17,Zipper - Plastic,in,-153,purchase,15,Damaged goods,8,2024-05-10T17:00:00
48,149,Regular Fit Anarkali Dress,99,Sewing Thread - Black,in,-184,purchase,485,,3,2024-04-03T14:00:00
49,75,Ethnic Sherwani,,,adjustment,182,,,Quality check,5,2024-02-29T14:00:00
50,119,Designer Joggers,14,Nylon Thread,adjustment,287,,,Inventory count,6,2025-10-19T20:00:00
51,,,77,Organza Fabric,in,-13,purchase,212,Quality check,6,2024-09-27T01:00:00
52,138,Essential Cotton T-Shirt,57,Magnetic Snap,adjustment,-43,,,,6,2025-11-24T15:00:00
53,47,Classic Crop Top,,,out,413,sale,447,Return,7,2024-02-11T18:00:00
54,183,Oversized Maxi Dress,,,out,319,sale,389,Inventory count,4,2024-05-30T07:00:00
55,,,10,Spandex Fabric,adjustment,-10,,,,2,2024-04-12T04:00:00
56,132,Modern Saree,,,in,154,purchase,62,,11,2025-07-20T13:00:00
57,125,Luxury Cardigan,,,in,-164,purchase,233,,6,2025-10-06T07:00:00
58,159,Traditional Waistcoat,,,in,163,purchase,301,Return,2,2024-07-01T19:00:00
59,,,,,out,304,sale,53,Damaged goods,4,2025-02-01T23:00:00
60,42,Modern Salwar Suit,,,in,96,purchase,286,,7,2024-06-02T04:00:00
61,176,Trendy Duffle Bag,76,Georgette Fabric,in,461,purchase,193,Stock adjustment,1,2025-01-26T06:00:00
62,51,Luxury Casual Shirt,,,adjustment,96,,,Inventory count,1,2024-10-28T09:00:00
63,128,Modern Maxi Dress,75,Chiffon Fabric,in,138,purchase,258,Inventory count,1,2024-01-13T08:00:00
64,158,Luxury Hat,99,Sewing Thread - Black,in,319,purchase,6,,10,2025-12-01T11:00:00
65,115,Luxury Leather Jacket,80,Tweed Fabric,in,-14,purchase,98,Stock adjustment,3,2025-02-10T13:00:00
66,,,,,out,-11,sale,380,Inventory count,6,2025-04-08T15:00:00
67,146,Traditional Bow Tie,,,in,228,purchase,82,Return,9,2024-03-23T12:00:00
68,35,Regular Fit Kurta,,,in,177,purchase,73,,3,2025-08-09T23:00:00
69,,,,,out,220,sale,147,,10,2024-08-11T01:00:00
70,180,Modern Stole,30,Label - Woven,in,246,purchase,162,,11,2024-09-07T14:00:00
71,186,Sporty Skirt,,,out,-16,sale,89,Quality check,2,2024-02-13T13:00:00
72,,,83,Buttons Pack - 12mm,in,484,purchase,340,,4,2025-07-18T10:00:00
73,,,98,Fusible Interfacing,in,-159,purchase,371,Stock adjustment,3,2024-02-14T08:00:00
74,46,Contemporary Formal Shirt,13,Silk Thread,in,-23,purchase,420,Damaged goods,9,2024-03-19T11:00:00
75,29,Trendy Gloves,69,Patch - Iron On,adjustment,-43,,,Quality check,9,2025-03-21T17:00:00
76,,,,,out,396,sale,206,Return,5,2024-04-22T16:00:00
77,,,,,out,112,sale,276,,1,2024-05-16T21:00:00
78,129,Modern Top,64,Chain - Plastic,out,252,sale,91,Inventory count,4,2025-10-15T16:00:00
79,,,50,Leather - Synthetic,in,453,purchase,267,Quality check,5,2025-02-15T09:00:00
80,,,17,Zipper - Plastic,adjustment,22,,,,2,2024-10-30T21:00:00
81,112,Luxury Scarf,23,Elastic Band,out,-124,sale,73,,5,2024-07-16T05:00:00
82,,,,,adjustment,426,,,Stock adjustment,2,2024-09-16T17:00:00
83,131,Modern Gloves,73,Mesh Fabric,in,-86,purchase,376,Inventory count,3,2024-04-02T15:00:00
84,157,Classic Anarkali Dress,,,out,339,sale,302,,9,2024-04-08T20:00:00
85,,,3,Linen Fabric,adjustment,-142,,,Quality check,7,2024-08-12T13:00:00
86,44,Comfort Wallet,8,Rayon Fabric,in,-195,purchase,378,,9,2024-12-22T06:00:00
87,49,Casual Sling Bag,1,Cotton Fabric,in,129,purchase,100,Return,3,2025-10-08T01:00:00
88,61,Oversized Rain Jacket,1,Cotton Fabric,in,163,purchase,126,,7,2025-07-20T22:00:00
89,145,Modern Kaftan,8,Rayon Fabric,out,-139,sale,88,Quality check,3,2025-04-06T12:00:00
90,63,Basic Formal Shirt,23,Elastic Band,out,369,sale,388,Quality check,11,2024-07-30T16:00:00
91,105,Urban Tote Bag,11,Cotton Thread,in,317,purchase,110,,11,2024-12-10T20:00:00
92,197,Slim Fit Sling Bag,51,Button - Brass,out,265,sale,468,Quality check,9,2024-04-17T07:00:00
93,1,Elegant Night Suit,25,Ribbon,in,-42,purchase,495,,4,2025-11-10T16:00:00
94,26,Regular Fit Vest,66,Fringe Trim,in,29,purchase,368,Inventory count,10,2024-12-23T05:00:00
95,136,Comfort Maxi Dress,91,Drawstring - Polyester,adjustment,-180,,,Inventory count,7,2025-02-19T15:00:00
96,,,93,Ribbon - Grosgrain,in,179,purchase,334,,11,2025-08-18T05:00:00
97,,,35,Hanger - Wooden,out,53,sale,268,,8,2024-03-17T19:00:00
98,30,Casual Duffle Bag,65,Tassel,out,-87,sale,228,Quality check,10,2024-12-26T18:00:00
99,,,45,Jute Fabric,out,476,sale,330,,3,2025-05-24T05:00:00
100,,,,,adjustment,208,,,,10,2025-06-30T12:00:00
101,36,Designer Night Suit,,,in,9,purchase,295,,6,2024-11-11T19:00:00
102,172,Slim Fit Tank Top,82,Denim Thread,in,-191,purchase,115,Damaged goods,3,2025-03-31T23:00:00
103,114,Comfort Kurta,,,out,286,sale,442,Quality check,7,2024-05-26T19:00:00
104,,,80,Tweed Fabric,out,205,sale,156,,9,2025-05-11T00:00:00
105,,,33,Tag - Plastic,out,372,sale,235,Damaged goods,7,2024-12-26T21:00:00
106,50,Modern Backpack,65,Tassel,in,109,purchase,39,Inventory count,4,2024-04-25T13:00:00
107,162,Oversized Scarf,,,in,208,purchase,430,,7,2025-08-18T17:00:00
108,8,Essential Cotton T-Shirt,,,in,123,purchase,398,,11,2024-01-11T19:00:00
109,101,Modern Top,42,Stone Studs,adjustment,-25,,,,7,2024-05-01T01:00:00
110,102,Comfort Saree,71,Hook & Loop Tape,in,416,purchase,493,,5,2024-03-03T00:00:00
111,,,99,Sewing Thread - Black,out,26,sale,427,Stock adjustment,11,2024-01-01T17:00:00
112,171,Slim Fit Cotton T-Shirt,71,Hook & Loop Tape,in,42,purchase,169,Inventory count,5,2025-09-25T19:00:00
113,142,Essential Lehenga,,,adjustment,42,,,Inventory count,6,2024-01-15T04:00:00
114,,,,,in,153,purchase,25,Quality check,2,2025-02-03T21:00:00
115,153,Traditional Shorts,,,out,8,sale,455,Quality check,5,2024-01-18T11:00:00
116,,,57,Magnetic Snap,in,354,purchase,286,Quality check,8,2025-11-11T09:00:00
117,123,Traditional Shawl,3,Linen Fabric,out,469,sale,27,Inventory count,3,2024-05-01T16:00:00
118,9,Slim Fit Gloves,,,out,446,sale,450,Return,2,2024-07-27T13:00:00
119,,,,,in,58,purchase,119,,7,2024-05-14T19:00:00
120,109,Trendy Crop Top,52,Button - Coconut,out,183,sale,141,,7,2024-06-17T09:00:00
121,30,Casual Duffle Bag,,,in,152,purchase,404,Quality check,8,2025-09-17T19:00:00
122,197,Slim Fit Sling Bag,,,in,-15,purchase,162,,6,2024-05-07T19:00:00
123,166,Sporty Night Suit,57,Magnetic Snap,in,-170,purchase,111,Damaged goods,8,2024-09-21T15:00:00
124,176,Trendy Duffle Bag,48,Wadding,out,411,sale,156,Quality check,6,2024-08-16T19:00:00
125,60,Casual Waistcoat,41,Beads,in,-194,purchase,50,,5,2025-05-15T02:00:00
126,,,,,in,410,purchase,374,Stock adjustment,7,2024-02-27T00:00:00
127,,,,,in,-131,purchase,338,,11,2025-04-28T07:00:00
128,,,69,Patch - Iron On,out,457,sale,254,Stock adjustment,10,2025-07-12T23:00:00
129,,,71,Hook & Loop Tape,in,132,purchase,285,Damaged goods,3,2024-06-24T05:00:00
130,36,Designer Night Suit,41,Beads,adjustment,-97,,,Return,8,2025-02-19T03:00:00
131,,,,,in,144,purchase,315,,6,2024-02-23T16:00:00
132,,,40,Sequins,in,75,purchase,307,Return,11,2025-04-27T07:00:00
133,77,Casual Salwar Suit,68,Patch - Embroidered,in,102,purchase,183,,6,2024-04-24T14:00:00
134,147,Comfort Tote Bag,34,Hanger - Plastic,out,96,sale,154,,6,2025-09-09T06:00:00
135,8,Essential Cotton T-Shirt,,,in,-73,purchase,251,Quality check,2,2025-06-26T06:00:00
136,,,67,Pom Pom,in,415,purchase,353,,9,2024-07-05T13:00:00
137,45,Casual Salwar Suit,72,Knit Fabric,out,-131,sale,260,Inventory count,9,2024-12-27T05:00:00
138,,,56,Snap Button,out,-12,sale,101,,6,2024-11-19T21:00:00
139,79,Urban Crop Top,85,Buttons Pack - 20mm,in,17,purchase,63,Stock adjustment,8,2024-12-01T23:00:00
140,,,14,Nylon Thread,out,164,sale,26,Inventory count,4,2025-03-11T21:00:00
141,128,Modern Maxi Dress,,,in,290,purchase,143,Quality check,3,2025-03-29T23:00:00
142,,,40,Sequins,out,29,sale,415,,10,2024-08-02T12:00:00
143,,,,,out,240,sale,295,,10,2024-09-25T10:00:00
144,8,Essential Cotton T-Shirt,15,Zipper - Nylon,out,-151,sale,295,Return,8,2025-06-29T19:00:00
145,,,88,Zipper - Closed End,in,148,purchase,296,,9,2024-06-16T03:00:00
146,75,Ethnic Sherwani,22,Hook & Eye,out,466,sale,210,Damaged goods,9,2024-10-28T12:00:00
147,172,Slim Fit Tank Top,59,Buckle - Plastic,out,396,sale,153,,9,2025-01-14T14:00:00
148,126,Designer Muffler,,,in,384,purchase,422,,9,2024-12-22T16:00:00
149,,,23,Elastic Band,adjustment,-54,,,Inventory count,9,2024-03-14T14:00:00
150,162,Oversized Scarf,18,Button - Plastic,out,106,sale,339,Stock adjustment,11,2025-06-25T17:00:00
151,21,Slim Fit Lehenga,43,Lace Fabric,out,394,sale,465,Damaged goods,6,2025-06-25T09:00:00
152,,,55,Rivet,in,308,purchase,405,Quality check,9,2024-06-12T16:00:00
153,,,,,in,-170,purchase,43,Return,7,2024-08-02T16:00:00
154,148,Formal Kaftan,,,out,303,sale,59,Damaged goods,6,2025-07-05T02:00:00
155,6,Oversized Jeans,80,Tweed Fabric,out,472,sale,6,,2,2025-08-09T20:00:00
156,95,Slim Fit Crop Top,,,out,373,sale,240,Stock adjustment,4,2025-03-11T13:00:00
157,169,Basic Night Suit,,,in,316,purchase,46,Inventory count,1,2025-07-05T00:00:00
158,,,,,adjustment,204,,,,2,2024-01-21T23:00:00
159,21,Slim Fit Lehenga,,,out,345,sale,124,Inventory count,5,2024-05-08T18:00:00
160,90,Oversized Night Suit,,,in,236,purchase,331,,9,2024-02-13T18:00:00
161,26,Regular Fit Vest,92,Ribbon - Satin,in,-75,purchase,424,Return,1,2024-02-13T09:00:00
162,,,52,Button - Coconut,in,-129,purchase,154,Inventory count,4,2024-12-17T22:00:00
163,113,Essential Kaftan,,,out,157,sale,388,Quality check,10,2025-06-05T23:00:00
164,,,8,Rayon Fabric,in,-193,purchase,108,Return,7,2025-10-03T10:00:00
165,75,Ethnic Sherwani,32,Tag - Paper,in,-112,purchase,188,Quality check,7,2025-10-28T10:00:00
166,48,Trendy Sling Bag,,,in,-82,purchase,300,Damaged goods,4,2024-04-13T12:00:00
167,11,Sporty Muffler,66,Fringe Trim,out,45,sale,490,,8,2025-04-27T15:00:00
168,,,99,Sewing Thread - Black,in,465,purchase,438,,6,2025-01-22T13:00:00
169,,,,,in,61,purchase,152,Quality check,2,2024-09-19T02:00:00
170,,,60,Slider,in,131,purchase,458,Return,9,2025-10-11T06:00:00
171,105,Urban Tote Bag,6,Denim Fabric,adjustment,182,,,Stock adjustment,11,2024-05-07T01:00:00
172,,,28,Bias Tape,out,-192,sale,280,Inventory count,7,2024-09-27T04:00:00
173,,,14,Nylon Thread,in,69,purchase,217,Damaged goods,8,2025-10-10T08:00:00
174,59,Classic Tote Bag,28,Bias Tape,in,-178,purchase,271,,7,2025-08-12T13:00:00
175,,,85,Buttons Pack - 20mm,out,421,sale,206,,10,2025-10-03T22:00:00
176,196,Contemporary Casual Shirt,79,Corduroy Fabric,in,321,purchase,89,Return,6,2025-04-10T08:00:00
177,197,Slim Fit Sling Bag,,,in,264,purchase,439,,8,2024-05-19T15:00:00
178,,,55,Rivet,in,366,purchase,455,,7,2025-07-27T03:00:00
179,9,Slim Fit Gloves,,,in,13,purchase,398,,9,2025-08-27T16:00:00
180,114,Comfort Kurta,46,Fleece Fabric,out,324,sale,106,Stock adjustment,4,2024-08-15T23:00:00
181,116,Oversized Backpack,,,out,57,sale,146,,10,2024-04-06T07:00:00
182,90,Oversized Night Suit,,,in,452,purchase,319,,9,2025-03-05T00:00:00
183,,,,,in,-30,purchase,203,,11,2024-02-10T08:00:00
184,22,Luxury Sweater,93,Ribbon - Grosgrain,in,468,purchase,442,Inventory count,3,2024-12-30T14:00:00
185,17,Sporty Windcheater,,,in,306,purchase,138,Damaged goods,2,2025-08-28T22:00:00
186,,,,,out,45,sale,111,,1,2025-07-18T20:00:00
187,80,Premium Blazer,,,out,449,sale,248,Damaged goods,9,2024-05-27T04:00:00
188,189,Sporty Tie,20,Button - Wooden,out,199,sale,15,Quality check,4,2024-09-18T18:00:00
189,,,39,Thread - Embroidery,in,-53,purchase,91,,5,2024-07-08T09:00:00
190,55,Premium Stole,,,adjustment,-98,,,,1,2024-04-20T17:00:00
191,,,89,Elastic Cord,in,190,purchase,157,Inventory count,1,2024-08-08T01:00:00
192,,,22,Hook & Eye,in,-143,purchase,280,,10,2024-06-04T01:00:00
193,101,Modern Top,54,Grommet,in,-62,purchase,400,Return,4,2024-03-12T18:00:00
194,8,Essential Cotton T-Shirt,,,out,276,sale,491,Return,1,2025-05-02T19:00:00
195,35,Regular Fit Kurta,,,in,376,purchase,50,Inventory count,4,2024-01-13T00:00:00
196,,,5,Wool Fabric,out,470,sale,237,,2,2025-04-07T05:00:00
197,98,Classic Cotton T-Shirt,96,Netting,in,321,purchase,105,Quality check,8,2025-04-28T02:00:00
198,,,33,Tag - Plastic,in,123,purchase,96,Quality check,2,2024-10-13T23:00:00
199,141,Comfort Kaftan,9,Nylon Fabric,out,285,sale,57,Damaged goods,5,2024-01-07T14:00:00
200,,,29,Drawstring Cord,in,108,purchase,209,,6,2024-10-27T04:00:00
201,4,Urban Beanie,,,in,-15,purchase,48,Damaged goods,2,2024-08-07T18:00:00
202,171,Slim Fit Cotton T-Shirt,75,Chiffon Fabric,in,78,purchase,489,Inventory count,8,2024-11-08T23:00:00
203,54,Formal Saree,54,Grommet,in,456,purchase,193,Return,2,2025-10-02T11:00:00
204,,,84,Buttons Pack - 16mm,in,276,purchase,473,,11,2025-09-09T09:00:00
205,178,Essential Belt,,,in,353,purchase,139,Quality check,1,2024-12-25T03:00:00
206,,,41,Beads,in,349,purchase,55,,7,2025-08-18T02:00:00
207,194,Oversized Kaftan,94,Lace - Cotton,out,421,sale,451,Damaged goods,8,2025-07-02T13:00:00
208,132,Modern Saree,17,Zipper - Plastic,out,19,sale,220,,1,2025-04-19T12:00:00
209,,,4,Silk Fabric,out,323,sale,270,,10,2024-08-24T14:00:00
210,,,,,in,380,purchase,293,Quality check,5,2024-05-13T02:00:00
211,189,Sporty Tie,68,Patch - Embroidered,in,6,purchase,26,,4,2025-02-06T19:00:00
212,,,,,in,247,purchase,118,,9,2024-10-03T14:00:00
213,,,53,Eyelet,in,126,purchase,61,,3,2024-10-07T13:00:00
214,44,Comfort Wallet,,,adjustment,-30,,,Inventory count,11,2024-07-23T23:00:00
215,,,,,adjustment,136,,,Stock adjustment,1,2024-01-02T06:00:00
216,,,32,Tag - Paper,in,98,purchase,11,Stock adjustment,10,2025-02-16T14:00:00
217,,,74,Satin Fabric,in,381,purchase,314,Damaged goods,2,2024-04-02T03:00:00
218,,,12,Polyester Thread,out,193,sale,409,,4,2025-08-04T23:00:00
219,117,Luxury Leather Jacket,75,Chiffon Fabric,in,489,purchase,351,Inventory count,10,2025-06-28T18:00:00
220,,,44,Net Fabric,in,107,purchase,199,Quality check,8,2025-07-10T02:00:00
221,,,,,in,411,purchase,199,Damaged goods,11,2025-08-26T16:00:00
222,25,Traditional Polo Shirt,32,Tag - Paper,in,256,purchase,128,,6,2024-03-25T03:00:00
223,166,Sporty Night Suit,,,in,65,purchase,340,,10,2024-12-03T16:00:00
224,49,Casual Sling Bag,86,Zipper - Invisible,in,-188,purchase,77,Stock adjustment,6,2024-03-11T11:00:00
225,8,Essential Cotton T-Shirt,49,PVC Fabric,in,388,purchase,143,Damaged goods,5,2025-09-13T19:00:00
226,104,Formal Cardigan,19,Button - Metal,out,-146,sale,456,,5,2024-04-07T01:00:00
227,36,Designer Night Suit,70,Badge,adjustment,-107,,,,11,2025-06-03T04:00:00
228,197,Slim Fit Sling Bag,,,in,-199,purchase,263,,1,2024-06-01T12:00:00
229,18,Premium Casual Shirt,89,Elastic Cord,out,132,sale,178,Stock adjustment,6,2024-05-19T14:00:00
230,106,Traditional Trousers,,,adjustment,27,,,,1,2024-12-18T14:00:00
231,,,,,in,373,purchase,45,Return,2,2024-05-22T17:00:00
232,18,Premium Casual Shirt,81,Canvas Fabric,out,135,sale,60,,5,2024-12-20T18:00:00
233,102,Comfort Saree,,,adjustment,-168,,,,4,2024-03-03T14:00:00
234,7,Comfort Sling Bag,,,in,-70,purchase,136,,8,2025-07-29T07:00:00
235,,,23,Elastic Band,in,5,purchase,16,Quality check,2,2024-05-10T18:00:00
236,,,34,Hanger - Plastic,in,345,purchase,46,Inventory count,7,2025-01-18T00:00:00
237,,,99,Sewing Thread - Black,out,64,sale,385,,5,2024-11-15T12:00:00
238,,,,,adjustment,250,,,Damaged goods,7,2025-03-05T07:00:00
239,86,Contemporary Bomber Jacket,,,in,174,purchase,55,Stock adjustment,5,2025-05-26T23:00:00
240,,,,,out,371,sale,433,Inventory count,7,2025-03-07T02:00:00
241,,,,,out,-97,sale,87,Inventory count,11,2025-11-26T04:00:00
242,1,Elegant Night Suit,54,Grommet,in,196,purchase,202,Quality check,3,2024-12-25T22:00:00
243,160,Classic Backpack,53,Eyelet,in,358,purchase,142,Damaged goods,10,2025-03-28T16:00:00
244,21,Slim Fit Lehenga,75,Chiffon Fabric,in,-139,purchase,243,Return,1,2025-10-16T06:00:00
245,28,Elegant Kaftan,39,Thread - Embroidery,in,312,purchase,212,Damaged goods,3,2025-08-02T15:00:00
246,,,,,in,14,purchase,121,Damaged goods,7,2024-11-10T01:00:00
247,141,Comfort Kaftan,,,adjustment,-87,,,Return,11,2024-06-03T02:00:00
