id,product_name,sku,category,brand,size,color,cost_price,selling_price,quantity,min_stock,barcode,status,description,created_at
100,Premium Beanie,SIMS0100,Dresses,StitchWell,40,Brown,1001.15,2330.05,459,21,8906442399664,active,"Premium Beanie by StitchWell in Brown, Size 40 - Dresses",2024-12-01T00:00:00
101,Modern Top,SIMS0101,Shirts,StyleCraft,M,Dark Green,1719.47,2747.12,133,19,8906148248340,active,"Modern Top by StyleCraft in Dark Green, Size M - Shirts",2024-09-30T00:00:00
102,Comfort Saree,SIMS0102,Activewear,UrbanFit,38,Coral,1418.53,2456.13,120,8,8901833818695,active,"Comfort Saree by UrbanFit in Coral, Size 38 - Activewear",2025-04-21T00:00:00
103,Trendy Chinos,SIMS0103,Kurtas,FabricFirst,36,Peach,3497.91,7228.27,481,24,8904959927657,active,"Trendy Chinos by FabricFirst in Peach, Size 36 - Kurtas",2024-08-14T00:00:00
104,Formal Cardigan,SIMS0104,Sarees,ThreadCraft,M,Charcoal,2166.85,4245.04,241,11,8908214440295,active,"Formal Cardigan by ThreadCraft in Charcoal, Size M - Sarees",2024-09-10T00:00:00
105,Urban Tote Bag,SIMS0105,Shirts,ThreadCraft,32,Charcoal,528.8,1045.44,31,11,8908350423774,active,"Urban Tote Bag by ThreadCraft in Charcoal, Size 32 - Shirts",2025-08-09T00:00:00
106,Traditional Trousers,SIMS0106,Jeans,StyleCraft,XXL,Peach,713.76,1103.82,298,21,8907560937921,active,"Traditional Trousers by StyleCraft in Peach, Size XXL - Jeans",2025-04-01T00:00:00
107,Classic Night Suit,SIMS0107,Jeans,StyleCraft,32,Burgundy,2884.97,5685.0,344,17,8905136181812,active,"Classic Night Suit by StyleCraft in Burgundy, Size 32 - Jeans",2024-09-17T00:00:00
108,Premium Beanie,SIMS0108,Trousers,UrbanFit,34,Navy Blue,2204.93,4719.57,277,20,8901808737318,active,"Premium Beanie by UrbanFit in Navy Blue, Size 34 - Trousers",2024-02-02T00:00:00
109,Trendy Crop Top,SIMS0109,Jeans,DesignLoft,40,Dark Green,1966.14,4658.97,229,7,8906066670258,active,"Trendy Crop Top by DesignLoft in Dark Green, Size 40 - Jeans",2025-11-30T00:00:00
110,Traditional Cardigan,SIMS0110,Dresses,DesignLoft,S,Maroon,2714.89,5900.62,114,14,8901046617712,active,"Traditional Cardigan by DesignLoft in Maroon, Size S - Dresses",2025-04-19T00:00:00
111,Traditional Tank Top,SIMS0111,Kids Wear,StitchWell,28,Sky Blue,2384.03,3543.02,96,30,8902514575114,active,"Traditional Tank Top by StitchWell in Sky Blue, Size 28 - Kids Wear",2025-11-07T00:00:00
112,Luxury Scarf,SIMS0112,T-Shirts,Trendz,L,Grey,639.35,856.92,306,28,8901653322541,active,"Luxury Scarf by Trendz in Grey, Size L - T-Shirts",2024-02-15T00:00:00
113,Essential Kaftan,SIMS0113,Trousers,UrbanFit,32,Grey,829.66,2067.66,119,23,8908732422050,active,"Essential Kaftan by UrbanFit in Grey, Size 32 - Trousers",2025-09-04T00:00:00
114,Comfort Kurta,SIMS0114,Jackets,StitchWell,M,Peach,2155.77,3514.3,285,25,8908941221632,active,"Comfort Kurta by StitchWell in Peach, Size M - Jackets",2025-11-26T00:00:00
115,Luxury Leather Jacket,SIMS0115,Sarees,DesignLoft,XS,Olive,3961.15,6664.56,213,14,8906479561929,active,"Luxury Leather Jacket by DesignLoft in Olive, Size XS - Sarees",2025-01-20T00:00:00
116,Oversized Backpack,SIMS0116,Kids Wear,StitchWell,30,Sky Blue,1608.57,3456.97,412,22,8907214618417,active,"Oversized Backpack by StitchWell in Sky Blue, Size 30 - Kids Wear",2025-02-26T00:00:00
117,Luxury Leather Jacket,SIMS0117,Kids Wear,StitchWell,M,Teal,1386.73,2352.33,40,7,8907036936557,active,"Luxury Leather Jacket by StitchWell in Teal, Size M - Kids Wear",2025-07-02T00:00:00
118,Casual Casual Shirt,SIMS0118,Jackets,UrbanFit,28,Khaki,4387.06,6693.76,389,22,8908886414795,active,"Casual Casual Shirt by UrbanFit in Khaki, Size 28 - Jackets",2024-08-10T00:00:00
119,Designer Joggers,SIMS0119,Dresses,StitchWell,XL,Black,4695.22,11524.38,60,27,8907427967141,active,"Designer Joggers by StitchWell in Black, Size XL - Dresses",2025-09-10T00:00:00
120,Casual Top,SIMS0120,Trousers,FabricFirst,32,Mustard,1996.21,3873.41,183,16,8905139573843,active,"Casual Top by FabricFirst in Mustard, Size 32 - Trousers",2025-06-09T00:00:00
121,Designer Night Suit,SIMS0121,Shirts,ThreadCraft,40,Cream,4584.5,7999.25,211,12,8901613582382,active,"Designer Night Suit by ThreadCraft in Cream, Size 40 - Shirts",2024-05-29T00:00:00
122,Premium Sherwani,SIMS0122,Kids Wear,DesignLoft,34,Coral,1581.68,2428.56,117,12,8906098123182,active,"Premium Sherwani by DesignLoft in Coral, Size 34 - Kids Wear",2025-05-26T00:00:00
123,Traditional Shawl,SIMS0123,Dresses,StyleCraft,XL,Cream,2385.02,5197.74,180,28,8903271845927,active,"Traditional Shawl by StyleCraft in Cream, Size XL - Dresses",2025-07-13T00:00:00
124,Designer Shorts,SIMS0124,Kids Wear,UrbanFit,36,White,4219.48,5861.69,418,29,8909968637216,active,"Designer Shorts by UrbanFit in White, Size 36 - Kids Wear",2024-01-07T00:00:00
125,Luxury Cardigan,SIMS0125,Trousers,UrbanFit,S,Dark Green,1210.79,2236.59,30,26,8909292444191,active,"Luxury Cardigan by UrbanFit in Dark Green, Size S - Trousers",2025-09-23T00:00:00
126,Designer Muffler,SIMS0126,Sarees,DesignLoft,XS,Black,207.48,401.54,140,5,8908190555046,active,"Designer Muffler by DesignLoft in Black, Size XS - Sarees",2025-05-29T00:00:00
127,Luxury Sling Bag,SIMS0127,Jeans,Elegance,S,Red,1318.7,2695.08,129,30,8905757227944,active,"Luxury Sling Bag by Elegance in Red, Size S - Jeans",2025-02-10T00:00:00
128,Modern Maxi Dress,SIMS0128,Kurtas,StitchWell,30,Coral,4952.63,7780.72,350,25,8902082021993,active,"Modern Maxi Dress by StitchWell in Coral, Size 30 - Kurtas",2024-02-02T00:00:00
129,Modern Top,SIMS0129,Kurtas,StyleCraft,28,Lavender,422.16,553.6,87,18,8902109794373,active,"Modern Top by StyleCraft in Lavender, Size 28 - Kurtas",2025-10-22T00:00:00
130,Comfort Vest,SIMS0130,Shirts,StitchWell,32,White,1175.37,2752.41,454,13,8908607248070,active,"Comfort Vest by StitchWell in White, Size 32 - Shirts",2024-02-17T00:00:00
131,Modern Gloves,SIMS0131,Jackets,UrbanFit,32,Coral,1019.87,2366.62,8,9,8903780429185,active,"Modern Gloves by UrbanFit in Coral, Size 32 - Jackets",2025-02-11T00:00:00
132,Modern Saree,SIMS0132,Jeans,DesignLoft,34,Sky Blue,3433.62,6691.01,196,28,8902878385098,active,"Modern Saree by DesignLoft in Sky Blue, Size 34 - Jeans",2024-03-21T00:00:00
133,Contemporary Beanie,SIMS0133,Dresses,DesignLoft,XS,Red,1275.9,1775.06,309,17,8909239159686,active,"Contemporary Beanie by DesignLoft in Red, Size XS - Dresses",2024-11-30T00:00:00
134,Premium Stole,SIMS0134,Jackets,StyleCraft,40,Charcoal,1256.47,2467.26,192,26,8906796165033,active,"Premium Stole by StyleCraft in Charcoal, Size 40 - Jackets",2025-08-22T00:00:00
135,Essential Blazer,SIMS0135,Activewear,Trendz,XL,Sky Blue,547.88,813.64,364,28,8909508073629,active,"Essential Blazer by Trendz in Sky Blue, Size XL - Activewear",2025-02-02T00:00:00
136,Comfort Maxi Dress,SIMS0136,Shirts,FabricFirst,S,Black,2306.97,5106.75,52,10,8902778478921,active,"Comfort Maxi Dress by FabricFirst in Black, Size S - Shirts",2025-03-17T00:00:00
137,Basic Leather Jacket,SIMS0137,Kids Wear,Trendz,32,Burgundy,277.37,478.38,47,30,8909011785786,active,"Basic Leather Jacket by Trendz in Burgundy, Size 32 - Kids Wear",2024-11-28T00:00:00
138,Essential Cotton T-Shirt,SIMS0138,Jackets,Trendz,28,Teal,3665.49,7226.31,500,21,8904258034983,active,"Essential Cotton T-Shirt by Trendz in Teal, Size 28 - Jackets",2024-06-22T00:00:00
139,Essential Chinos,SIMS0139,Jeans,FabricFirst,XL,Brown,2541.65,3497.11,222,14,8904703897563,active,"Essential Chinos by FabricFirst in Brown, Size XL - Jeans",2025-05-10T00:00:00
140,Modern Maxi Dress,SIMS0140,Jackets,StitchWell,L,Cream,2370.63,3467.25,3,24,8906310887852,active,"Modern Maxi Dress by StitchWell in Cream, Size L - Jackets",2025-01-24T00:00:00
141,Comfort Kaftan,SIMS0141,Dresses,Elegance,28,Khaki,1607.11,3252.56,355,15,8903695783071,active,"Comfort Kaftan by Elegance in Khaki, Size 28 - Dresses",2024-06-30T00:00:00
142,Essential Lehenga,SIMS0142,Jackets,StitchWell,38,Cream,1730.55,2831.8,402,8,8906273886056,active,"Essential Lehenga by StitchWell in Cream, Size 38 - Jackets",2025-07-31T00:00:00
143,Casual Tie,SIMS0143,Kids Wear,UrbanFit,M,Lavender,4772.07,8847.16,362,30,8903813853166,active,"Casual Tie by UrbanFit in Lavender, Size M - Kids Wear",2024-10-25T00:00:00
144,Modern Wallet,SIMS0144,Kurtas,Elegance,36,Cream,3221.68,5123.84,337,30,8903068875464,active,"Modern Wallet by Elegance in Cream, Size 36 - Kurtas",2025-01-21T00:00:00
145,Modern Kaftan,SIMS0145,Activewear,DesignLoft,30,Coral,2741.68,6602.5,445,6,8906614336879,active,"Modern Kaftan by DesignLoft in Coral, Size 30 - Activewear",2025-01-03T00:00:00
146,Traditional Bow Tie,SIMS0146,Shirts,ThreadCraft,S,Sky Blue,956.74,1947.17,288,25,8909657462296,active,"Traditional Bow Tie by ThreadCraft in Sky Blue, Size S - Shirts",2025-02-13T00:00:00
147,Comfort Tote Bag,SIMS0147,Kurtas,Trendz,S,Black,1404.88,2687.27,265,27,8908489260884,active,"Comfort Tote Bag by Trendz in Black, Size S - Kurtas",2025-08-12T00:00:00
148,Formal Kaftan,SIMS0148,Dresses,Elegance,28,Charcoal,1823.09,2423.75,53,7,8904965224163,active,"Formal Kaftan by Elegance in Charcoal, Size 28 - Dresses",2024-04-28T00:00:00
149,Regular Fit Anarkali Dress,SIMS0149,Jackets,StitchWell,XXL,Charcoal,2677.41,4599.68,49,19,8906880963699,active,"Regular Fit Anarkali Dress by StitchWell in Charcoal, Size XXL - Jackets",2024-11-22T00:00:00
150,Modern Saree,SIMS0150,T-Shirts,UrbanFit,40,Red,4268.52,8868.12,346,21,8903205923241,active,"Modern Saree by UrbanFit in Red, Size 40 - T-Shirts",2024-06-27T00:00:00
151,Traditional Chinos,SIMS0151,Dresses,StyleCraft,32,Burgundy,1274.5,2276.33,94,26,8903501642991,active,"Traditional Chinos by StyleCraft in Burgundy, Size 32 - Dresses",2025-03-18T00:00:00
152,Essential Polo Shirt,SIMS0152,Activewear,DesignLoft,L,Charcoal,2035.85,4368.29,105,23,8904735881018,active,"Essential Polo Shirt by DesignLoft in Charcoal, Size L - Activewear",2024-04-14T00:00:00
153,Traditional Shorts,SIMS0153,Dresses,StyleCraft,XXL,Grey,702.68,1479.03,250,15,8908082871091,active,"Traditional Shorts by StyleCraft in Grey, Size XXL - Dresses",2025-09-03T00:00:00
154,Essential Scarf,SIMS0154,Kurtas,ThreadCraft,34,Red,1857.13,3434.64,88,23,8904992236988,active,"Essential Scarf by ThreadCraft in Red, Size 34 - Kurtas",2024-03-27T00:00:00
155,Regular Fit Lehenga,SIMS0155,Shirts,Trendz,L,Brown,1037.77,2212.65,261,24,8906213865763,active,"Regular Fit Lehenga by Trendz in Brown, Size L - Shirts",2024-05-21T00:00:00
156,Ethnic Skirt,SIMS0156,Kurtas,Elegance,M,Cream,2841.33,5363.21,71,19,8903511194650,active,"Ethnic Skirt by Elegance in Cream, Size M - Kurtas",2025-09-26T00:00:00
157,Classic Anarkali Dress,SIMS0157,T-Shirts,StitchWell,30,Dark Green,4103.8,10081.37,258,18,8909765353973,active,"Classic Anarkali Dress by StitchWell in Dark Green, Size 30 - T-Shirts",2025-05-18T00:00:00
158,Luxury Hat,SIMS0158,Sarees,Trendz,30,Maroon,2892.18,6522.03,112,13,8904920364414,active,"Luxury Hat by Trendz in Maroon, Size 30 - Sarees",2024-08-18T00:00:00
159,Traditional Waistcoat,SIMS0159,Jeans,StyleCraft,40,Charcoal,2816.17,4043.61,58,16,8904595544079,active,"Traditional Waistcoat by StyleCraft in Charcoal, Size 40 - Jeans",2025-07-09T00:00:00
160,Classic Backpack,SIMS0160,Sarees,DesignLoft,32,Grey,646.72,1484.92,384,6,8904322313248,active,"Classic Backpack by DesignLoft in Grey, Size 32 - Sarees",2025-04-05T00:00:00
161,Elegant Anarkali Dress,SIMS0161,Shirts,StitchWell,30,Red,1167.91,2552.04,352,25,8905706087488,active,"Elegant Anarkali Dress by StitchWell in Red, Size 30 - Shirts",2025-03-14T00:00:00
162,Oversized Scarf,SIMS0162,Jeans,StitchWell,40,Grey,4056.39,8048.24,272,22,8904772659286,active,"Oversized Scarf by StitchWell in Grey, Size 40 - Jeans",2024-06-21T00:00:00
163,Comfort Hat,SIMS0163,Jackets,FabricFirst,XL,Coral,4769.13,9143.84,460,29,8902278090527,active,"Comfort Hat by FabricFirst in Coral, Size XL - Jackets",2025-02-25T00:00:00
164,Classic Nehru Jacket,SIMS0164,Jeans,StitchWell,38,Dark Green,859.28,1449.19,126,9,8906270740272,active,"Classic Nehru Jacket by StitchWell in Dark Green, Size 38 - Jeans",2025-08-14T00:00:00
165,Elegant Stole,SIMS0165,Kurtas,Trendz,28,Charcoal,3223.09,7594.08,47,28,8906406971575,active,"Elegant Stole by Trendz in Charcoal, Size 28 - Kurtas",2024-10-11T00:00:00
166,Sporty Night Suit,SIMS0166,Sarees,UrbanFit,XXL,Coral,4364.2,10110.11,47,26,8907153201791,active,"Sporty Night Suit by UrbanFit in Coral, Size XXL - Sarees",2025-01-01T00:00:00
167,Modern Tote Bag,SIMS0167,Kids Wear,DesignLoft,28,Grey,4150.51,7859.65,165,22,8904806321853,active,"Modern Tote Bag by DesignLoft in Grey, Size 28 - Kids Wear",2025-08-14T00:00:00
168,Regular Fit Vest,SIMS0168,Sarees,UrbanFit,40,Mustard,372.82,764.81,428,8,8907168402012,active,"Regular Fit Vest by UrbanFit in Mustard, Size 40 - Sarees",2024-06-10T00:00:00
169,Basic Night Suit,SIMS0169,T-Shirts,Elegance,28,Grey,4428.42,7361.09,447,25,8904677826921,active,"Basic Night Suit by Elegance in Grey, Size 28 - T-Shirts",2025-01-04T00:00:00
170,Elegant Blazer,SIMS0170,Dresses,UrbanFit,36,Maroon,2072.26,3453.65,358,25,8904142625464,active,"Elegant Blazer by UrbanFit in Maroon, Size 36 - Dresses",2024-04-03T00:00:00
171,Slim Fit Cotton T-Shirt,SIMS0171,Trousers,Elegance,30,Navy Blue,3029.35,5826.45,227,27,8901124647311,active,"Slim Fit Cotton T-Shirt by Elegance in Navy Blue, Size 30 - Trousers",2024-12-17T00:00:00
172,Slim Fit Tank Top,SIMS0172,Jeans,StitchWell,30,Navy Blue,2007.89,4371.01,52,16,8902385147550,active,"Slim Fit Tank Top by StitchWell in Navy Blue, Size 30 - Jeans",2024-11-02T00:00:00
173,Regular Fit Skirt,SIMS0173,Jeans,Trendz,36,Dark Green,2722.97,3567.55,332,16,8903202735066,active,"Regular Fit Skirt by Trendz in Dark Green, Size 36 - Jeans",2024-08-06T00:00:00
174,Regular Fit Crop Top,SIMS0174,Activewear,StitchWell,36,Charcoal,570.44,810.34,385,28,8902652988285,active,"Regular Fit Crop Top by StitchWell in Charcoal, Size 36 - Activewear",2025-01-28T00:00:00
175,Sporty Tank Top,SIMS0175,Dresses,StitchWell,40,Dark Green,1493.29,2092.25,283,28,8909066472886,active,"Sporty Tank Top by StitchWell in Dark Green, Size 40 - Dresses",2025-09-14T00:00:00
176,Trendy Duffle Bag,SIMS0176,T-Shirts,StitchWell,36,Brown,2661.08,5086.46,382,25,8906257993147,active,"Trendy Duffle Bag by StitchWell in Brown, Size 36 - T-Shirts",2024-02-25T00:00:00
177,Formal Rain Jacket,SIMS0177,Kurtas,StyleCraft,S,Sky Blue,3244.7,4494.61,455,15,8901161960656,active,"Formal Rain Jacket by StyleCraft in Sky Blue, Size S - Kurtas",2024-05-15T00:00:00
178,Essential Belt,SIMS0178,Activewear,Elegance,28,Olive,3849.22,9412.67,394,23,8901979679912,active,"Essential Belt by Elegance in Olive, Size 28 - Activewear",2024-03-10T00:00:00
179,Premium Sherwani,SIMS0179,Trousers,DesignLoft,XS,White,2607.06,5355.64,256,27,8906575833864,active,"Premium Sherwani by DesignLoft in White, Size XS - Trousers",2025-02-15T00:00:00
180,Modern Stole,SIMS0180,Kids Wear,Elegance,32,Khaki,1495.72,2500.68,261,22,8903727270529,active,"Modern Stole by Elegance in Khaki, Size 32 - Kids Wear",2024-11-30T00:00:00
181,Essential Tie,SIMS0181,Shirts,StitchWell,XL,Burgundy,430.84,604.66,222,24,8902556745568,active,"Essential Tie by StitchWell in Burgundy, Size XL - Shirts",2025-09-15T00:00:00
182,Classic Saree,SIMS0182,Jeans,Elegance,S,Black,3552.27,5316.32,487,21,8905653397476,active,"Classic Saree by Elegance in Black, Size S - Jeans",2024-09-22T00:00:00
183,Oversized Maxi Dress,SIMS0183,Jeans,Trendz,38,Beige,3891.44,5195.96,413,21,8906762296844,active,"Oversized Maxi Dress by Trendz in Beige, Size 38 - Jeans",2024-03-06T00:00:00
184,Elegant Hat,SIMS0184,Activewear,StyleCraft,36,Navy Blue,2357.71,4083.9,255,16,8908608616831,active,"Elegant Hat by StyleCraft in Navy Blue, Size 36 - Activewear",2024-06-10T00:00:00
185,Elegant Duffle Bag,SIMS0185,Shirts,StitchWell,34,Red,3742.78,4877.15,439,6,8901164927741,active,"Elegant Duffle Bag by StitchWell in Red, Size 34 - Shirts",2025-04-28T00:00:00
186,Sporty Skirt,SIMS0186,Jeans,DesignLoft,M,White,1238.9,1979.66,468,7,8905294096744,active,"Sporty Skirt by DesignLoft in White, Size M - Jeans",2025-08-08T00:00:00
187,Sporty Hoodie,SIMS0187,Kids Wear,Elegance,36,White,1232.45,2364.98,23,19,8906381122218,active,"Sporty Hoodie by Elegance in White, Size 36 - Kids Wear",2024-10-16T00:00:00
188,Trendy Lehenga,SIMS0188,Shirts,UrbanFit,32,Charcoal,1939.26,3199.61,401,12,8905079001689,active,"Trendy Lehenga by UrbanFit in Charcoal, Size 32 - Shirts",2025-04-20T00:00:00
189,Sporty Tie,SIMS0189,Sarees,StitchWell,40,Grey,880.25,2129.22,12,16,8904127242779,active,"Sporty Tie by StitchWell in Grey, Size 40 - Sarees",2025-10-13T00:00:00
190,Premium Salwar Suit,SIMS0190,T-Shirts,FabricFirst,40,Teal,654.15,1266.29,121,6,8906634672872,active,"Premium Salwar Suit by FabricFirst in Teal, Size 40 - T-Shirts",2024-05-25T00:00:00
191,Elegant Blazer,SIMS0191,T-Shirts,DesignLoft,L,Peach,3549.11,6200.26,498,8,8902139540984,active,"Elegant Blazer by DesignLoft in Peach, Size L - T-Shirts",2025-06-01T00:00:00
192,Regular Fit Stole,SIMS0192,Kurtas,UrbanFit,S,Coral,2259.67,5552.15,121,15,8904914809343,active,"Regular Fit Stole by UrbanFit in Coral, Size S - Kurtas",2025-02-06T00:00:00
193,Comfort Lehenga,SIMS0193,Sarees,Trendz,XL,Sky Blue,4726.24,6916.07,394,9,8908847818423,active,"Comfort Lehenga by Trendz in Sky Blue, Size XL - Sarees",2024-04-18T00:00:00
194,Oversized Kaftan,SIMS0194,Sarees,Trendz,XXL,Burgundy,2749.23,6756.4,106,19,8907065528349,active,"Oversized Kaftan by Trendz in Burgundy, Size XXL - Sarees",2024-09-28T00:00:00
195,Slim Fit Blazer,SIMS0195,Jeans,UrbanFit,40,Brown,1192.85,2776.82,75,16,8902224238841,active,"Slim Fit Blazer by UrbanFit in Brown, Size 40 - Jeans",2025-02-09T00:00:00
196,Contemporary Casual Shirt,SIMS0196,Jackets,UrbanFit,XL,Maroon,4767.67,11087.32,284,8,8908383597641,active,"Contemporary Casual Shirt by UrbanFit in Maroon, Size XL - Jackets",2025-04-18T00:00:00
197,Slim Fit Sling Bag,SIMS0197,Jeans,UrbanFit,S,Black,4177.31,10355.89,66,16,8903659296561,active,"Slim Fit Sling Bag by UrbanFit in Black, Size S - Jeans",2025-10-07T00:00:00
198,Modern Tie,SIMS0198,Activewear,UrbanFit,XL,Navy Blue,4986.23,7665.33,330,7,8906951634426,active,"Modern Tie by UrbanFit in Navy Blue, Size XL - Activewear",2024-12-05T00:00:00
199,Slim Fit Formal Shirt,SIMS0199,Sarees,DesignLoft,XS,Maroon,4135.17,7335.79,15,18,8906136907597,active,"Slim Fit Formal Shirt by DesignLoft in Maroon, Size XS - Sarees",2024-06-25T00:00:00
200,Sporty Joggers,SIMS0200,Jeans,StyleCraft,XL,Beige,4434.61,5949.38,317,25,8909280927341,active,"Sporty Joggers by StyleCraft in Beige, Size XL - Jeans",2024-10-29T00:00:00
